Time_sec,X_2d_X,X_2d_Y,PupilDiameter,GazeOrigin_X,GazeOrigin_Y,GazeOrigin_Z,GazeDirection_X,GazeDirection_Y,GazeDirection_Z,CameraDirection_X,CameraDirection_Y,CameraDirection_Z,CameraOrigin_X,CameraOrigin_Y,CameraOrigin_Z
0.0,0.5182106,0.5221348,4.157799,7656.036,927.8924,-1049.605,-0.9521182,-0.2865902,0.106476,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.017018,0.5159121,0.5272962,4.175835,7656.037,927.8907,-1049.606,-0.9509178,-0.2922546,0.1016984,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.033244,0.4916161,0.4747795,4.185173,7656.031,927.9082,-1049.621,-0.9707876,-0.2339657,0.05321029,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.049965,0.4880965,0.3985152,4.163857,7656.024,927.9337,-1049.622,-0.9878271,-0.1481518,0.04741916,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.066835,0.4992377,0.3217216,4.161942,7656.018,927.9594,-1049.615,-0.9955469,-0.06237848,0.07067803,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.083157,0.4962539,0.3093014,4.167641,7656.016,927.9635,-1049.617,-0.996721,-0.04858092,0.06470846,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.099833,0.4960176,0.3231819,4.172852,7656.017,927.9589,-1049.617,-0.9958826,-0.06395344,0.06424729,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.116749,0.4974135,0.3132637,4.146149,7656.017,927.9622,-1049.616,-0.9963422,-0.0529482,0.06707327,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.133072,0.4950332,0.3074836,4.146568,7656.016,927.9641,-1049.617,-0.9969623,-0.04668732,0.06234241,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.149703,0.4927536,0.3209167,4.167229,7656.017,927.9597,-1049.619,-0.9964457,-0.06136021,0.05771449,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.166664,0.4903443,0.3217268,4.16301,7656.017,927.9594,-1049.62,-0.9966564,-0.06232835,0.05283153,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.182986,0.4945226,0.3226551,4.165581,7656.017,927.959,-1049.618,-0.9961148,-0.06330976,0.06121452,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.199668,0.494718,0.3231547,4.162048,7656.017,927.9589,-1049.618,-0.996055,-0.06390312,0.06156922,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.216579,0.4968434,0.3236635,4.16555,7656.018,927.9587,-1049.616,-0.9957436,-0.06442256,0.06591152,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.232905,0.4941222,0.3226544,4.167831,7656.017,927.959,-1049.618,-0.9961655,-0.06331294,0.06038152,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.249537,0.4955288,0.328171,4.179558,7656.018,927.9572,-1049.617,-0.9955774,-0.06949728,0.06321291,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.266492,0.5096238,0.332874,4.177795,7656.019,927.9556,-1049.609,-0.9930102,-0.07462042,0.09144672,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.282824,0.6660391,0.4851125,4.253242,7656.04,927.9048,-1049.514,-0.8918243,-0.2324676,0.3880827,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.299502,0.8204833,0.6157936,4.204872,7656.058,927.8611,-1049.42,-0.7306227,-0.3248695,0.6005417,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.316408,1.044988,0.7612833,4.180855,7656.082,927.8125,-1049.283,-0.5245514,-0.3615392,0.7708017,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
